Detection timestamp,AprilTag Detection [Hz],Window size timestamp,window size
,,1690252022.69862,596410
,,1690252022.71582,596410
,,1690252022.72224,594135
,,1690252022.72919,594135
,,1690252022.7386,594135
,,1690252022.74997,591864
,,1690252022.75756,591864
,,1690252022.7671,589597
,,1690252022.77624,589597
,,1690252022.78536,589597
,,1690252023.17445,587334
,,1690252023.18249,587334
,,1690252023.19182,585075
,,1690252023.20087,585075
,,1690252023.21011,582820
,,1690252023.22065,582820
,,1690252023.23023,580569
,,1690252023.23936,580569
,,1690252023.24913,580569
,,1690252023.25847,578322
,,1690252023.26726,578322
,,1690252023.27769,578322
,,1690252023.67043,576079
,,1690252023.68104,576079
,,1690252023.68962,573840
,,1690252023.70765,573840
,,1690252023.72401,571605
,,1690252023.73402,571605
,,1690252023.74379,569374
,,1690252023.75542,569374
,,1690252023.76445,569374
,,1690252023.77284,567147
,,1690252023.78271,567147
,,1690252024.16937,564924
,,1690252024.18123,564924
,,1690252024.18794,562705
,,1690252024.19673,562705
,,1690252024.20749,562705
,,1690252024.21479,560490
,,1690252024.22582,560490
,,1690252024.23671,558279
,,1690252024.24838,558279
,,1690252024.25627,558279
,,1690252024.26698,556072
,,1690252024.27625,556072
,,1690252024.66784,553869
,,1690252024.67466,553869
,,1690252024.68372,551670
,,1690252024.69329,551670
,,1690252024.70415,551670
,,1690252024.71491,549475
,,1690252024.72246,549475
,,1690252024.73099,549475
,,1690252024.74061,547284
,,1690252024.74923,547284
,,1690252024.75811,545097
,,1690252024.76617,545097
,,1690252024.77501,542914
,,1690252025.16471,542914
,,1690252025.17442,540735
,,1690252025.18205,540735
,,1690252025.18882,540735
,,1690252025.20439,538560
,,1690252025.20908,538560
,,1690252025.21813,536389
,,1690252025.22776,536389
,,1690252025.23728,536389
,,1690252025.247,534222
,,1690252025.25581,534222
,,1690252025.26538,532059
,,1690252025.27475,532059
,,1690252025.66288,529900
,,1690252025.67175,529900
,,1690252025.67835,527745
,,1690252025.68901,527745
,,1690252025.6966,527745
,,1690252025.70627,525594
,,1690252025.71534,525594
,,1690252025.72553,525594
,,1690252025.73588,523447
,,1690252025.7489,523447
,,1690252025.75685,521304
,,1690252025.7649,521304
,,1690252026.1597,519165
,,1690252026.16872,519165
,,1690252026.17653,517030
,,1690252026.18782,517030
,,1690252026.19712,517030
,,1690252026.20652,514899
,,1690252026.21715,514899
,,1690252026.22574,514899
,,1690252026.23639,512772
,,1690252026.2451,512772
,,1690252026.25487,510649
,,1690252026.26465,510649
,,1690252026.65731,508530
,,1690252026.6663,508530
,,1690252026.67894,506415
,,1690252026.6877,506415
,,1690252026.6944,506415
,,1690252026.70314,504304
,,1690252026.71491,504304
,,1690252026.72197,504304
,,1690252026.73192,502197
,,1690252026.73947,502197
,,1690252026.74806,500094
,,1690252026.75885,500094
,,1690252027.15431,497995
,,1690252027.16142,497995
,,1690252027.16985,495900
,,1690252027.17764,495900
,,1690252027.1934,495900
,,1690252027.2,493809
,,1690252027.20915,493809
,,1690252027.21786,491722
,,1690252027.23131,491722
,,1690252027.24031,491722
,,1690252027.24997,489639
,,1690252027.26365,489639
,,1690252027.65101,487560
,,1690252027.65945,487560
,,1690252027.66574,485485
,,1690252027.67387,485485
,,1690252027.68676,483414
,,1690252027.69462,483414
,,1690252027.7031,483414
,,1690252027.71244,481347
,,1690252027.72217,481347
,,1690252027.72967,481347
,,1690252027.73969,479284
,,1690252027.75045,479284
,,1690252027.75772,477225
,,1690252028.14626,477225
,,1690252028.15702,475170
,,1690252028.16475,475170
,,1690252028.17305,473119
,,1690252028.17852,473119
,,1690252028.18704,473119
,,1690252028.19582,471072
,,1690252028.20406,471072
,,1690252028.21257,471072
,,1690252028.22056,469029
,,1690252028.23014,469029
,,1690252028.23899,466990
,,1690252028.24782,466990
,,1690252028.25811,464955
,,1690252028.65212,464955
,,1690252028.65926,462924
,,1690252028.66676,462924
,,1690252028.68031,462924
,,1690252028.68867,460897
,,1690252028.69657,460897
,,1690252028.70362,458874
,,1690252028.71578,458874
,,1690252028.72327,458874
,,1690252028.73211,456855
,,1690252028.74186,456855
,,1690252028.74976,454840
,,1690252028.75877,454840
,,1690252029.15139,452829
,,1690252029.16356,452829
,,1690252029.17268,452829
,,1690252029.18124,450822
,,1690252029.1888,450822
,,1690252029.19796,448819
,,1690252029.2073,448819
,,1690252029.22786,448819
,,1690252029.23096,446820
,,1690252029.23825,446820
,,1690252029.25,444825
,,1690252029.25861,444825
,,1690252029.65017,442834
,,1690252029.66037,442834
,,1690252029.66674,442834
